Üniversite,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
GALATASARAY ÜNİVERSİTESİ Hukuk Fakültesi (Fransızca) Akademik Kadro,Hukuk (Fransızca) (4 Yıllık),İSTANBUL,213,EA
BOĞAZİÇİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İşletme (İngilizce) (4 Yıllık),İSTANBUL,519,EA
İSTANBUL ÜNİVERSİTESİ Hukuk Fakültesi (UOLP-Hamburg Üniversitesi) (Ücretli) Akademik Kadro,Hukuk (UOLP-Hamburg Üniversitesi) (Ücretli) (4 Yıllık),İSTANBUL,602,EA
BOĞAZİÇİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İktisat (İngilizce) (4 Yıllık),İSTANBUL,667,EA
BOĞAZİÇİ ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Siyaset Bilimi ve Uluslararası İlişkiler (İngilizce) (4 Yıllık),İSTANBUL,1137,EA
BOĞAZİÇİ ÜNİVERSİTESİ Uygulamalı Bilimler Yüksekokulu Akademik Kadro,Yönetim Bilişim Sistemleri (Yüksekokul) (İngilizce) (4 Yıllık),İSTANBUL,1350,EA
BOĞAZİÇİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Psikoloji (İngilizce) (4 Yıllık),İSTANBUL,1553,EA
GALATASARAY ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İşletme (Fransızca) (4 Yıllık),İSTANBUL,1574,EA
BOĞAZİÇİ ÜNİVERSİTESİ Uygulamalı Bilimler Yüksekokulu Akademik Kadro,Uluslararası Ticaret (Yüksekokul) (İngilizce) (4 Yıllık),İSTANBUL,1914,EA
GALATASARAY ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İktisat (Fransızca) (4 Yıllık),İSTANBUL,1965,EA
GALATASARAY ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Uluslararası İlişkiler (Fransızca) (4 Yıllık),İSTANBUL,2386,EA
ORTA DOĞU TEKNİK ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İşletme (İngilizce) (4 Yıllık),ANKARA,2581,EA
GALATASARAY ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Siyaset Bilimi (Fransızca) (4 Yıllık),İSTANBUL,3590,EA
BOĞAZİÇİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Sosyoloji (İngilizce) (4 Yıllık),İSTANBUL,4074,EA
ORTA DOĞU TEKNİK ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İktisat (İngilizce) (4 Yıllık),ANKARA,4251,EA
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Psikoloji (İngilizce) (4 Yıllık),ANKARA,4963,EA
ANKARA ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),ANKARA,5124,EA
İSTANBUL TEKNİK ÜNİVERSİTESİ İşletme Fakültesi Akademik Kadro,Ekonomi (İngilizce) (4 Yıllık),İSTANBUL,5476,EA
İSTANBUL ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),İSTANBUL,5691,EA
ORTA DOĞU TEKNİK ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İşletme (İngilizce) (UOLP-SUNY Binghamton) (%50 İndirimli) (4 Yıllık),ANKARA,5763,EA
BOĞAZİÇİ ÜNİVERSİTESİ Uygulamalı Bilimler Yüksekokulu Akademik Kadro,Turizm İşletmeciliği (Yüksekokul) (İngilizce) (4 Yıllık),İSTANBUL,6508,EA
İSTANBUL TEKNİK ÜNİVERSİTESİ İşletme Fakültesi Akademik Kadro,İşletme (İngilizce) (UOLP-SUNY New Paltz) (%50 İndirimli) (4 Yıllık),İSTANBUL,6943,EA
HACETTEPE ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),ANKARA,7224,EA
ORTA DOĞU TEKNİK ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Uluslararası İlişkiler (İngilizce) (4 Yıllık),ANKARA,7436,EA
İSTANBUL ÜNİVERSİTESİ Hukuk Fakültesi (İÖ) Akademik Kadro,Hukuk (İÖ) (4 Yıllık),İSTANBUL,9130,EA
MARMARA ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),İSTANBUL,10097,EA
ORTA DOĞU TEKNİK ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Küresel Siyaset ve Uluslararası İlişkiler (İngilizce) (UOLP-SUNY Binghamton) (%50 İndirimli) (4 Yıllık),ANKARA,11832,EA
BOĞAZİÇİ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Rehberlik ve Psikolojik Danışmanlık (İngilizce) (4 Yıllık),İSTANBUL,12551,EA
HACETTEPE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Psikoloji (4 Yıllık),ANKARA,12688,EA
ORTA DOĞU TEKNİK ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,Siyaset Bilimi ve Kamu Yönetimi (İngilizce) (4 Yıllık),ANKARA,12881,EA
MARMARA ÜNİVERSİTESİ Hukuk Fakültesi (İÖ) Akademik Kadro,Hukuk (İÖ) (4 Yıllık),İSTANBUL,13384,EA
TÜRK-ALMAN ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),İSTANBUL,13485,EA
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Hukuk Fakültesi Akademik Kadro,Hukuk (4 Yıllık),ANKARA,14341,EA
GALATASARAY ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Sosyoloji (Fransızca) (4 Yıllık),İSTANBUL,14343,EA
TÜRK-ALMAN ÜNİVERSİTESİ İktisadi ve İdari Bilimler Fakültesi Akademik Kadro,İşletme (Almanca) (4 Yıllık),İSTANBUL,14589,EA
MARMARA ÜNİVERSİTESİ İşletme Fakültesi Akademik Kadro,Yönetim Bilişim Sistemleri (Fakülte) (İngilizce) (4 Yıllık),İSTANBUL,15943,EA
