Üniversite  ,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
BOĞAZİÇİ ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,327,SAY
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA Cerrahpaşa Tıp Fakültesi  ,Tıp (İngilizce) (6 Yıllık),İSTANBUL,495,SAY
HACETTEPE ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (İngilizce) (6 Yıllık),ANKARA,957,SAY
BOĞAZİÇİ ÜNİVERSİTESİ Mühendislik Fakültesi  ,Elektrik-Elektronik Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,1047,SAY
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (İngilizce) (4 Yıllık),ANKARA,1048,SAY
BOĞAZİÇİ ÜNİVERSİTESİ Mühendislik Fakültesi  ,Endüstri Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,1617,SAY
HACETTEPE ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ANKARA,1817,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Bilgisayar ve Bilişim Fakültesi  ,Bilgisayar Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,1821,SAY
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA Cerrahpaşa Tıp Fakültesi  ,Tıp (6 Yıllık),İSTANBUL,1997,SAY
İSTANBUL ÜNİVERSİTESİ İstanbul Tıp Fakültesi  ,Tıp (İngilizce) (6 Yıllık),İSTANBUL,2227,SAY
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Mühendislik Fakültesi  ,Elektrik-Elektronik Mühendisliği (İngilizce) (4 Yıllık),ANKARA,2505,SAY
BOĞAZİÇİ ÜNİVERSİTESİ Mühendislik Fakültesi  ,Makine Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,2737,SAY
ANKARA ÜNİVERSİTESİ Tıp Fakültesi (İngilizce)  ,Tıp (İngilizce) (6 Yıllık),ANKARA,2750,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Bilgisayar ve Bilişim Fakültesi  ,Yapay Zeka ve Veri Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,2861,SAY
İSTANBUL ÜNİVERSİTESİ İstanbul Tıp Fakültesi  ,Tıp (6 Yıllık),İSTANBUL,3035,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Elektrik-Elektronik Fakültesi  ,Elektronik ve Haberleşme Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,3248,SAY
ANKARA ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ANKARA,3761,SAY
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ Havacılık ve Uzay Bilimleri Fakültesi  ,Pilotaj (Fakülte) (4 Yıllık),ESKİŞEHİR,4167,SAY
EGE ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),İZMİR,4218,SAY
GALATASARAY ÜNİVERSİTESİ Mühendislik ve Teknoloji Fakültesi  ,Bilgisayar Mühendisliği (Fransızca) (4 Yıllık),İSTANBUL,4351,SAY
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Mühendislik Fakültesi  ,Endüstri Mühendisliği (İngilizce) (4 Yıllık),ANKARA,4529,SAY
MARMARA ÜNİVERSİTESİ Tıp Fakültesi (İngilizce)  ,Tıp (İngilizce) (6 Yıllık),İSTANBUL,4547,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ İşletme Fakültesi  ,Endüstri Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,4810,SAY
GAZİ ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ANKARA,5101,SAY
HACETTEPE ÜNİVERSİTESİ Mühendislik Fakültesi  ,Bilgisayar Mühendisliği (İngilizce) (4 Yıllık),ANKARA,5248,SAY
GAZİ ÜNİVERSİTESİ Tıp Fakültesi (İngilizce)  ,Tıp (İngilizce) (6 Yıllık),ANKARA,5681,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Elektrik-Elektronik Fakültesi  ,Elektronik ve Haberleşme Mühendisliği (4 Yıllık),İSTANBUL,5921,SAY
DOKUZ EYLÜL ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),İZMİR,5943,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Uçak ve Uzay Bilimleri Fakültesi  ,Uçak Mühendisliği (4 Yıllık),İSTANBUL,6019,SAY
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Mühendislik Fakültesi  ,Havacılık ve Uzay Mühendisliği (İngilizce) (4 Yıllık),ANKARA,6134,SAY
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Hamidiye Tıp Fakültesi  ,Tıp (6 Yıllık),İSTANBUL,6474,SAY
AKDENİZ ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ANTALYA,6499,SAY
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Mühendislik Fakültesi  ,Makine Mühendisliği (İngilizce) (4 Yıllık),ANKARA,6984,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ İşletme Fakültesi  ,Endüstri Mühendisliği (4 Yıllık),İSTANBUL,7560,SAY
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ANKARA,7589,SAY
BOĞAZİÇİ ÜNİVERSİTESİ Mühendislik Fakültesi  ,Kimya Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,7598,SAY
HACETTEPE ÜNİVERSİTESİ Mühendislik Fakültesi  ,Yapay Zeka Mühendisliği (İngilizce) (4 Yıllık),ANKARA,8004,SAY
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ESKİŞEHİR,8138,SAY
BURSA ULUDAĞ ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),BURSA,8401,SAY
YILDIZ TEKNİK ÜNİVERSİTESİ Elektrik-Elektronik Fakültesi  ,Bilgisayar Mühendisliği (4 Yıllık),İSTANBUL,8476,SAY
İSTANBUL MEDENİYET ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),İSTANBUL,8512,SAY
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ Gülhane Tıp Fakültesi  ,Tıp (Ankara) (6 Yıllık),ANKARA,8531,SAY
GALATASARAY ÜNİVERSİTESİ Mühendislik ve Teknoloji Fakültesi  ,Endüstri Mühendisliği (Fransızca) (4 Yıllık),İSTANBUL,8645,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Elektrik-Elektronik Fakültesi  ,Kontrol ve Otomasyon Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,9098,SAY
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ Tıp Fakültesi (İngilizce)  ,Tıp (İngilizce) (6 Yıllık),ANKARA,9131,SAY
ÇUKUROVA ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),ADANA,9202,SAY
BOĞAZİÇİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi  ,Matematik (İngilizce) (4 Yıllık),İSTANBUL,9765,SAY
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),İZMİR,9787,SAY
ONDOKUZ MAYIS ÜNİVERSİTESİ Tıp Fakültesi  ,Tıp (6 Yıllık),SAMSUN,10307,SAY
İSTANBUL TEKNİK ÜNİVERSİTESİ Uçak ve Uzay Bilimleri Fakültesi  ,Uzay Mühendisliği (İngilizce) (4 Yıllık),İSTANBUL,10324,SAY
