Üniversite,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
BOĞAZİÇİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (İngilizce) (4 Yıllık),İSTANBUL,716,SOZ
GALATASARAY ÜNİVERSİTESİ İletişim Fakültesi (Fransızca) Akademik Kadro,İletişim (Fransızca) (4 Yıllık),İSTANBUL,883,SOZ
BOĞAZİÇİ ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (İngilizce) (4 Yıllık),İSTANBUL,1425,SOZ
BOĞAZİÇİ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (İngilizce) (4 Yıllık),İSTANBUL,2011,SOZ
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (İngilizce) (4 Yıllık),ANKARA,2243,SOZ
HACETTEPE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),ANKARA,2282,SOZ
MARMARA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (Arapça) (4 Yıllık),İSTANBUL,2783,SOZ
ORTA DOĞU TEKNİK ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (İngilizce) (4 Yıllık),ANKARA,3446,SOZ
MARMARA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (Arapça) (M.T.O.K.) (4 Yıllık),İSTANBUL,3663,SOZ
EGE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),İZMİR,4114,SOZ
MARMARA ÜNİVERSİTESİ Atatürk Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),İSTANBUL,4214,SOZ
TÜRK-ALMAN ÜNİVERSİTESİ Kültür ve Sosyal Bilimler Fakültesi Akademik Kadro,Kültür ve İletişim Bilimleri (4 Yıllık),İSTANBUL,4416,SOZ
HACETTEPE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),ANKARA,4855,SOZ
ANKARA ÜNİVERSİTESİ Eğitim Bilimleri Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),ANKARA,4874,SOZ
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA Hasan Ali Yücel Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),İSTANBUL,4954,SOZ
GAZİ ÜNİVERSİTESİ Gazi Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),ANKARA,5914,SOZ
HACETTEPE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ANKARA,5931,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Buca Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),İZMİR,6494,SOZ
İNÖNÜ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),MALATYA,6569,SOZ
ANADOLU ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),ESKİŞEHİR,6688,SOZ
AKDENİZ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),ANTALYA,6927,SOZ
MARMARA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İngilizce) (4 Yıllık),İSTANBUL,6967,SOZ
